L3-M5,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
K,19,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,42383.07712,35019.4034,26202.02672,19909.41725,15331.71159,12072.55288,9333.227659,7372.120242,5855.074748,4693.267725,3785.255847,3062.302335,2488.660227,2026.460053,1662.431884,1372.13274,1138.326461,951.144372,799.099276,675.495294,574.374587,490.915253,421.729719,364.117,315.792164,275.044978,240.584379,210.30706,183.658804,160.078257,140.021968,135.312019,1077.517386,961.109432,859.798101,771.104659,693.379746,624.353245,561.958421,506.567193,457.326777,413.24625,374.503304,339.47403,308.556241,280.902647,255.773092,233.421261,213.263871,195.019112,178.564217,163.458864,149.849986,137.571007,126.428715,116.298639,107.105124,98.575915,90.752878,83.655096,77.174022,71.287743,65.923883,61.012484,56.523617,52.413973,48.646905,45.18992,42.02188,39.106144,36.426721,33.939745,31.674417
Ca,20,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,4461.102155,36257.43711,30404.14942,23227.50196,17963.86441,14199.05226,11027.98442,8743.286499,6962.869647,5596.101061,4525.037174,3662.033971,2984.173765,2447.450845,2021.954972,1669.559774,1388.401089,1164.252631,979.339798,827.281733,702.804449,600.147389,515.110984,444.354943,385.054726,335.091932,292.873592,255.817966,223.237948,194.442009,169.972168,149.084424,131.173773,115.782146,1000.194661,890.408046,798.244577,718.024723,648.263342,586.396929,531.537941,481.238145,436.521768,395.958929,360.118402,327.942317,298.681002,272.55757,249.03786,227.947038,208.941267,191.757659,176.236958,161.981638,149.028228,137.154305,126.354004,116.327864,107.126802,98.777161,91.153436,84.227193,77.912411,72.128359,66.84045,61.997969,57.557924,53.482283,49.746293,46.306911,43.145396,40.210187,37.536042
Sc,21,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,4810.923788,3588.178417,28580.27439,24560.69871,19109.83942,15175.1323,11819.54414,9396.439474,7507.52219,6046.695157,4896.592001,3967.7456,3235.923987,2654.874343,2193.915308,1821.540908,1523.019249,1277.109081,1075.441099,911.214536,775.168052,661.71968,567.461669,489.096774,423.472324,368.218579,321.573824,280.694558,244.804172,213.125128,186.226391,163.279392,143.614747,126.727145,112.147906,99.502779,88.545308,758.101385,680.452085,613.110256,555.075153,503.632778,458.517579,417.038106,380.221619,346.499663,315.804898,288.345579,263.601864,241.361763,221.306759,203.113199,186.679721,171.796964,158.25925,145.935218,134.72633,124.183759,114.410409,105.532511,97.406316,90.022152,83.291599,77.125966,71.487943,66.323716,61.587601,57.239464,53.25286,49.582007,46.207307,43.073468,40.217653
Ti,22,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,5164.922321,3888.780679,2981.842248,23849.84407,20881.71414,16627.24886,13014.1175,10398.93786,8325.134004,6728.126341,5467.377701,4422.79511,3605.272176,2958.97787,2447.837037,2035.431237,1704.889951,1438.466979,1219.63979,1033.889311,880.522348,753.819657,647.590354,558.174545,483.030757,419.801188,366.432088,319.731999,278.793659,242.707599,212.073474,185.943446,163.554298,144.329781,127.734253,113.342339,100.881582,89.959461,80.410419,679.327542,609.978427,550.992289,500.256195,455.374152,415.733794,380.372365,347.941377,318.037627,291.051004,266.712015,244.744119,224.778654,206.732355,190.368221,175.473755,161.905333,149.557129,138.11943,127.63289,118.041062,109.113103,100.98846,93.465963,86.550657,80.224469,74.425506,69.107533,64.225336,59.749271,55.627942,51.8394,48.321414,45.115699
V,23,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,5872.789948,4415.564621,3379.541482,2638.426913,20294.29209,18186.15689,14276.08769,11428.75329,9199.487695,7455.07667,6068.393626,4918.329223,4011.478589,3293.855607,2725.182502,2265.870773,1897.593745,1600.548072,1356.546362,1156.075612,989.781646,847.999852,728.940702,629.692191,546.049665,474.330957,413.825307,360.97731,314.737124,274.065143,239.524014,210.055323,184.802573,163.118536,144.392448,128.142603,114.079464,101.753698,90.9817,81.532134,73.245649,65.900979,549.333631,497.01725,451.387738,412.562156,377.199581,346.019986,317.722838,291.800935,268.316575,246.625831,227.004491,209.145249,192.880756,178.050023,164.545216,152.025017,140.537025,130.069339,120.465768,111.709418,103.664096,96.264494,89.399088,82.95342,77.041214,71.598818,66.605615,62.008311,57.782181,53.858064,50.282655
Cr,24,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,6720.331475,5060.436932,3871.116476,3017.844201,2391.690743,18674.75152,16311.07363,13054.17461,10514.62236,8544.458246,6974.538631,5662.251529,4628.507967,3803.554477,3148.142706,2617.428299,2191.324234,1847.528928,1565.036813,1332.938804,1141.269605,981.762528,847.261022,732.85437,635.306898,553.172826,482.961397,421.344282,367.355811,319.965925,279.716192,245.366006,215.916873,190.623382,168.780657,149.831681,133.418402,119.026855,106.44994,95.41508,85.736892,77.165134,69.682828,62.986229,517.028187,468.91143,426.025598,390.044395,357.632703,328.948118,302.955215,279.187496,257.631945,237.531557,219.207248,202.446625,187.168263,172.9856,159.958368,148.087583,137.202649,127.27446,118.186447,109.830067,102.160547,95.109078,88.619889,82.480141,76.801046,71.558439,66.686068,62.161578,58.035738
Mn,25,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,7675.381067,5755.426777,4385.895153,3405.567729,2687.534997,2170.472189,15733.16821,14164.73936,11427.29183,9307.122987,7620.513733,6232.09022,5105.079565,4204.414183,3481.973275,2895.671785,2424.4823,2043.407656,1730.162615,1472.765722,1260.178265,1083.192634,935.404404,811.535591,706.625287,615.433711,537.884897,470.182586,410.827176,357.971334,313.044164,274.689021,241.801534,213.541752,189.127343,167.937404,149.58008,133.480287,119.406588,107.05501,96.218911,86.619573,78.238438,70.743408,64.152488,58.306771,53.009428,426.767709,387.969242,355.979572,327.160214,301.689136,278.573899,257.525472,238.292919,220.293442,203.788029,188.42528,174.283858,161.394116,149.571259,138.784713,128.9142,119.836773,111.504841,103.845432,96.794281,90.292866,84.309226,78.762343,73.549824,68.699576,64.223049
Fe,26,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,8396.586808,6375.511917,4901.960876,3830.000704,3035.440008,2458.362067,1963.750179,14217.45225,12873.69599,10476.23495,8588.31578,7048.358816,5820.562286,4807.80689,3989.992685,3322.340604,2781.740885,2344.493779,1984.392024,1688.212344,1443.577972,1240.017787,1070.103294,927.737453,807.646486,705.890066,618.785575,541.682426,473.716651,414.220749,362.84062,318.647628,280.540981,247.7904,219.488725,194.915581,173.62933,154.959124,138.628947,124.294585,111.716387,100.574447,90.846546,82.144457,74.49178,67.705852,61.553227,56.115864,51.228024,405.528877,368.938881,338.870472,311.690099,288.280464,266.897155,247.22645,229.230975,212.237684,196.418753,181.974348,168.66063,156.512708,145.393794,135.167076,125.778335,117.144718,109.196302,101.874715,95.137334,88.910045,83.162688,77.805982,72.886853
Co,27,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,8918.797736,6834.244754,5292.242754,4157.318339,3308.538888,2688.042867,2153.273875,1759.880608,12405.62731,11075.46094,9253.530217,7621.443344,6311.741269,5255.488649,4377.810496,3647.737445,3057.202023,2576.358683,2180.660399,1855.085753,1585.989904,1361.991828,1175.007863,1018.35913,886.243896,774.31646,679.261593,596.382897,523.547808,457.992022,401.897223,353.683378,312.017374,275.658045,244.159745,216.812378,193.119362,172.338046,154.161666,138.209007,124.212974,111.813426,100.98747,91.304138,82.789433,75.239379,68.394679,62.346279,56.911484,52.069415,47.709123,43.780845,338.569596,311.336322,286.616574,265.509404,246.538992,228.627156,211.947649,196.648504,182.382424,169.356941,157.33658,146.261049,136.094503,126.747683,118.14301,110.213719,102.916725,96.173197,89.952497,84.154867,78.853397
Ni,28,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,10354.96142,7959.108671,6177.368602,4860.006315,3870.696958,3145.869012,2520.088307,2059.415566,1693.36213,11568.35054,10267.4422,8688.423917,7192.605984,6000.605848,5030.498694,4219.401569,3540.551159,2988.396146,2533.242454,2158.634847,1847.44813,1586.26005,1367.563545,1184.439244,1030.12103,899.446656,788.575945,691.965132,607.63476,533.635646,469.373421,413.620976,364.998004,323.174202,286.976745,255.51472,227.735893,203.200254,181.685611,162.809126,146.252234,131.58588,118.785056,107.343999,97.288718,88.37482,80.297333,73.161853,66.753212,61.045871,55.909477,51.287817,47.115312,43.356188,329.35592,302.967129,279.94729,259.463124,241.262045,224.410639,208.303111,193.584214,179.774215,167.009885,155.328352,144.644049,134.809206,125.751611,117.418041,109.716443,102.60895,95.985533,89.930049
