X-ray Line energies in ev from Waldo program (reordered), Handbook of Chemistry and Physics, orig ref Bearden and Burr
 Symbol    Ka      Kb     La1     Lb1     Lb2     Lb3     Lb4     Lg1    Lg2,3     Ma      Mb      Mg
Ag         25514    3806    3524    3351     718     602     571     373     367      95      63      56
Cd         26711    4018    3727    3538     770     651     617     411     404     108      67      67
In         27940    4238    3938    3730     826     702     664     451     443     122      77      77
Sn         29200    4465    4156    3929     884     756     714     493     485     137      89      89
Sb         30491    4698    4380    4132     944     812     766     537     528     152      98      98
Te         31814    4939    4612    4341    1006     870     819     583     572     168     110     110
I          33169    5188    4852    4557    1072     931     875     631     619     186     123     123
Xe         34561    5453    5104    4782    1143     999     937     685     672     208     147     147
Cs         35985    5714    5359    5012    1217    1065     998     740     726     231     172     162
Ba         37441    5989    5624    5247    1293    1137    1062     796     781     253     192     180
La         38925    6266    5891    5483    1361    1204    1123     849     832     270     206     191
Ce         40443    6549    6164    5723    1435    1273    1185     901     883     290     223     207
Pr         41991    6835    6440    5964    1511    1337    1242     951     931     305     236     218
Nd         43569    7126    6722    6208    1575    1403    1297    1000     978     315     243     224
Pm         45184    7428    7013    6459    1650    1471    1357    1052    1027     330     242     242
Sm         46834    7737    7312    6716    1723    1541    1420    1106    1080     346     266     247
Eu         48519    8052    7617    6977    1800    1614    1481    1161    1131     360     284     257
Gd         50239    8376    7930    7243    1881    1688    1544    1217    1185     376     289     271
Tb         51996    8708    8252    7514    1968    1768    1611    1275    1241     398     310     285
Dy         53789    9046    8581    7790    2047    1842    1676    1333    1295     416     332     293
Ho         55618    9394    8918    8071    2128    1923    1741    1392    1351     436     344     307
Er         57486    9751    9264    8358    2207    2006    1812    1453    1409     449     366     320
Tm         59390   10116    9617    8648    2307    2090    1885    1515    1468     472     386     337
Yb         61332   10486    9978    8944    2398    2173    1950    1576    1528     487     397     344
Lu         63314   10870   10349    9244    2491    2264    2024    1639    1589     506     410     359
Hf         65351   11271   10739    9561    2601    2365    2108    1716    1662     538     437     380
Ta         67416   11682   11136    9881    2708    2469    2194    1793    1735     567     465     405
W          69525   12100   11544   10207    2820    2575    2281    1872    1809     595     492     425
Re         71676   12527   11959   10535    2932    2682    2367    1949    1883     625     518     444
Os         73871   12968   12385   10871    3049    2792    2457    2031    1960     654     547     468
Ir         76111   13419   12824   11215    3174    2909    2551    2116    2040     690     577     494
Pt         78395   13880   13273   11564    3296    3027    2645    2202    2122     722     609     519
Au         80725   14353   13734   11919    3425    3148    2743    2291    2206     759     644     545
Hg         83102   14839   14209   12284    3562    3279    2847    2385    2295     800     677     571
Tl         85530   15347   14698   12657    3704    3416    2957    2485    2389     846     721     609
Pb         88005   15861   15200   13035    3851    3554    3066    2586    2484     894     764     645
Bi         90526   16388   15711   13419    3999    3696    3177    2688    2580     938     805     679
Po         93105   16939   16244   13814    4149    3854    3302    2798    2683     995     851     705
At         65730   17493   16785   14214    4317    4008    3426    2909    2787    1042     886     740
Rn         98404   18049   17337   14619    4482    4159    3538    3022    2892    1097     929     768
Fr        101137   18639   17907   15031    4652    4327    3663    3136    3000    1153     980     810
Ra        103922   19237   18484   15444    4822    4490    3792    3248    3105    1208    1058     879
Ac        106755   19840   19083   15871    5002    4656    3909    3370    3219    1269    1080     890
Th        109651   20472   19693   16300    5182    4830    4046    3491    3332    1330    1168     967
Pa        112601   21105   20314   16733    5367    5001    4174    3611    3442    1387    1224    1007
U         115606   21757   20948   17166    5548    5182    4303    3728    3552    1441    1273    1045
Np        118678   22427   21601   17610    5723    5366    4435    3850    3666    1501    1328    1087
Pu        121818   23097   22266   18057    5933    5541    4557    3973    3778    1559    1372    1115
Am        125027   23773   22944   18504    6121    5710    4667    4092    3887    1617    1412    1136
Cm        128220   24460   23779   18930    6288    5895    4797    4227    3971    1643    1440    1154
Bk        131590   25275   24385   19452    6556    6147    4977    4366    4132    1755    1554    1235
Cf        135960   26110   25250   19930    6754    6359    5109    4497    4253    1799    1616    1279
Es        139490   26900   26020   20410    6977    6574    5252    4630    4374    1868    1680    1321
