Grunerite    (Fe6.1 Mg.9) Si8 O23.5 F.5
Si       16.536
O        37.681
 
Fayalite    (Fe1.844 Mg.078 Mn.074 Ca.004) Si O4
Fe       51.187
Mg        0.942
Mn        2.021
Ca        0.080
Si       13.960
O        31.810
 
Fayalite    (Mg.98 Fe.98 Mn.02 Ca.02) Si O4
Mg       13.805
Fe       31.722
Mn        0.637
Ca        0.465
Si       16.278
O        37.093
 
Omphacite    Si4 Mg.805 Fe.31 Al.885 (Na.835 Ca1.165) O12
Si       26.067
Mg        4.540
Fe        4.017
Al        5.541
Na        4.454
Ca       10.834
O        44.548
 
Vauxite    Fe Al2 P2 O16 H14
Fe       12.639
Al       12.213
P        14.020
O        57.935
H         3.194
 
Augelite    Al2 P O7 H3
Al       26.987
P        15.490
O        56.010
H         1.512
 
Melanostibite    Mn (Fe.5 Sb.5) O3
Mn       28.653
Fe       14.564
Sb       31.750
O        25.034
 
Chlorophoenicite    (Mn2.61 Ca.3 Mg.09) Zn2 As O12 H4
Mn       25.636
Ca        2.150
Mg        0.391
Zn       23.382
As       13.395
O        34.326
H         0.721
 
Heulandite-Ca    Ca1.2 Si13.2 Al4.8 O45.55 H22.006
Ca        3.702
Si       28.533
Al        9.968
O        56.090
H         1.707
 
Staurolite    Fe.741 Al4.374 Ti.037 Si1.856 Mg.196 Mn.019 O12
Fe       10.066
Al       28.708
Ti        0.431
Si       12.680
Mg        1.159
Mn        0.254
O        46.702
 
Glaucophane    Mg2.39 Fe.79 Al1.82 (Na1.96 Ca.04) Si8 O24 H.052
Mg        7.201
Fe        5.469
Al        6.087
Na        5.586
Ca        0.199
Si       27.852
O        47.600
H         0.006
 
Eveite    Mn2 As O5 H
Mn       41.337
As       28.187
O        30.096
H         0.379
 
Zoisite    Ca2 Si3 Al3 H O13
Ca       17.642
Si       18.544
Al       17.815
H         0.222
O        45.777
 
Clinozoisite    Ca2 Si3 Al3 H O13
Ca       17.642
Si       18.544
Al       17.815
H         0.222
O        45.777
 
Tamarugite    Na Al S2 O14 H12
Na        6.565
Al        7.705
S        18.313
O        63.963
H         3.454
 
Sapphirine    Al9 Mg3.5 Si1.5 O20
Al       35.192
