Grunerite    (Fe6.1 Mg.9) Si8 O23.5 F.5
P         6.279
Na       20.195
Ce       14.202
Nd        9.649
La        4.787
C         2.435
S         1.083
O        35.677
 
Gaultite    Zn2 Si7 Na4 O24 H8
Zn       16.118
Si       24.230
Na       11.334
O        47.325
H         0.994
 
Poitevinite    Fe S O5 H2
Fe       32.866
S        18.871
O        47.078
H         1.186
 
Poitevinite    (Cu.48 Fe.52) S O5 H2
Cu       17.568
Fe       16.726
S        18.469
O        46.076
H         1.161
 
Poitevinite    Cu S O5 H2
Cu       35.775
S        18.053
O        45.037
H         1.135
 
Kaliborite    K Mg2 B12 H19 O30
K         5.456
Mg        6.784
B        18.105
H         2.673
O        66.983
 
Tunellite    Sr B6 H8 O14
Sr       22.786
B        16.868
H         2.097
O        58.249
 
Tusionite    Mn Sn B2 O6
Mn       18.862
Sn       40.757
B         7.423
O        32.958
 
Fichtelite    C19 H33
C        87.279
H        12.721
 
Tremolite    Si8 Mg5 Ca2 O22 F2
Si       27.523
Mg       14.886
Ca        9.819
O        43.117
F         4.654
 
Tremolite    Si8 Mg5.08 Ca1.92 O22 F2
Si       27.566
Mg       15.148
Ca        9.441
O        43.184
F         4.662
 
Pargasite    Si7.48 Ga.68 Mg4.92 Ca1.92 Na.27 O22 F2
Si       24.709
Ga        5.576
Mg       14.065
Ca        9.051
Na        0.730
O        41.400
F         4.469
 
Pargasite    Si7.04 Ga1.28 Mg4.82 Ca1.8 Na.46 O22 F2
Si       22.550
Ga       10.178
Mg       13.361
Ca        8.228
Na        1.206
O        40.144
F         4.333
 
Pargasite    Si6.8 Ga1.62 Mg4.6 Ca1.96 Na.71 O22 F2
Si       21.206
Ga       12.542
Mg       12.414
Ca        8.722
Na        1.812
O        39.084
F         4.219
 
Pargasite    Si6.28 Ga2.36 Mg4.57 Ca1.78 Na.8 O22 F2
Si       18.930
Ga       17.661
Mg       11.921
Ca        7.657
Na        1.974
O        37.779
F         4.078
 
Pargasite    Si6.32 Ga2.42 Mg4.48 Ca1.72 Na.86 O22 F2
Si       19.008
Ga       18.069
Mg       11.661
Ca        7.382
Na        2.117
O        37.694
F         4.069
 
Fluor-pargasite    Si6.012 Al2.762 Mg4.306 Ca2.12 Na.85 O22 F2
Si       20.041
Al        8.845
Mg       12.422
Ca       10.085
Na        2.319
O        41.778
F         4.510
 
Fluor-pargasite    Si5.88 Al3.058 Mg8.062 Fe2 Ca2.2 Na.8 O22 F2
Si       15.700
Al        7.844
Mg       18.629
Fe       10.619
Ca        8.383
Na        1.749
O        33.464
F         3.612
 
Parakhinite    Pb Te Cu3 O8 H2
Pb       31.612
Te       19.468
Cu       29.085
O        19.528
H         0.308
 
Wattersite    Hg5 Cr O6
Hg       87.142
Cr        4.518
O         8.341
 
Schorlomite    Si2.34 Fe1.36 Ti1.06 Al.14 Zr.04 Mg.13 Mn.02 Ca2.88 Na.03 O12
Si       12.831
Fe       14.828
Ti        9.908
Al        0.737
Zr        0.712
Mg        0.617
Mn        0.215
Ca       22.534
Na        0.135
O        37.483
 
Schorlomite    Si2.34 Fe1.36 Ti1.06 Al.14 Zr.04 Mg.13 Mn.02 Ca2.88 Na.03 O12
Si       12.831
Fe       14.828
Ti        9.908
Al        0.737
Zr        0.712
Mg        0.617
Mn        0.215
Ca       22.534
Na        0.135
O        37.483
 
Claringbullite    Cu1.995 H3 Cl O3
Cu       59.449
H         1.418
Cl       16.625
O        22.508
 
Frankhawthorneite    Cu2 Te O6 H2
Cu       36.034
Te       36.178
O        27.217
H         0.572
 
Skinnerite    Sb2 Cu6 S6
Sb       29.798
Cu       46.658
S        23.544
 
Owensite    (Cu13.092 Fe11.908) Ba5.438 Pb.562 S27
Cu       25.789
Fe       20.615
Ba       23.149
Pb        3.610
S        26.838
 
Uvite    Ca.813 Na.173 Mg3.591 Ti.027 V.027 Li.024 Cr.003 Al5.514 Si5.814 B3 F.967 O30.033 H4
Ca        3.344
Na        0.408
Mg        8.959
Ti        0.133
V         0.141
Li        0.017
Cr        0.016
Al       15.271
Si       16.761
B         3.329
F         1.886
O        49.321
H         0.414
 
Uvite    Ca.762 Na.229 Mg3.327 Ti.027 V.024 Li.06 Cr.003 Al5.892 Si5.664 B3 F.832 O30.168 H4
Ca        3.140
Na        0.541
Mg        8.313
Ti        0.133
V         0.126
Li        0.043
Cr        0.016
Al       16.343
Si       16.353
B         3.334
F         1.625
O        49.619
H         0.414
 
Uvite    Ca.697 Na.288 Mg3.291 Ti.027 V.051 Li.075 Cr.006 Al5.814 Si5.736 B3 F.835 O30.165 H4
Ca        2.873
Na        0.681
Mg        8.228
Ti        0.133
V         0.267
Li        0.054
Cr        0.032
Al       16.136
Si       16.571
B         3.336
F         1.632
O        49.643
H         0.415
 
Uvite    Ca.768 Na.205 Mg3.108 Ti.033 V.06 Li.111 Cr.006 Al6.132 Si5.55 B3 F.737 O30.263 H4
Ca        3.164
Na        0.485
Mg        7.766
Ti        0.162
V         0.314
Li        0.079
Cr        0.032
Al       17.009
Si       16.024
B         3.334
F         1.439
O        49.776
H         0.414
 
Uvite    Ca.595 Na.362 Mg3.201 Ti.021 V.111 Li.09 Cr.009 Al5.76 Si5.808 B3 F.784 O30.216 H4
Ca        2.456
Na        0.857
Mg        8.012
Ti        0.104
V         0.582
Li        0.064
Cr        0.048
Al       16.005
Si       16.798
B         3.340
F         1.534
O        49.785
H         0.415
 
Uvite    Ca.716 Na.255 Mg3.186 Ti.033 V.201 Li.057 Cr.021 Al5.916 Si5.586 B3 F.915 O33.085 H7
Ca        2.791
Na        0.570
Mg        7.533
Ti        0.154
V         0.996
Li        0.038
Cr        0.106
Al       15.527
Si       15.261
B         3.155
F         1.691
O        51.491
H         0.686
 
Uvite    Ca.774 Na.202 Mg3.141 Ti.036 V.126 Li.078 Cr.021 Al6.084 Si5.514 B3 F.808 O30.192 H4
Ca        3.179
Na        0.476
Mg        7.825
Ti        0.177
V         0.658
Li        0.055
Cr        0.112
Al       16.825
Si       15.873
B         3.324
F         1.573
O        49.510
H         0.413
 
Uvite    Ca.769 Na.202 Mg3.288 Ti.036 V.123 Li.054 Cr.009 Al5.862 Si5.628 B3 F.805 O30.195 H4
Ca        3.160
Na        0.476
Mg        8.194
Ti        0.177
V         0.642
Li        0.038
Cr        0.048
Al       16.217
Si       16.207
B         3.325
F         1.568
O        49.534
H         0.413
 
Uvite    Ca.746 Na.221 Mg3.21 Ti.027 V.162 Li.066 Cr.015 Al5.916 Si5.604 B3 F.854 O30.146 H4
Ca        3.064
Na        0.521
Mg        7.995
Ti        0.132
V         0.846
Li        0.047
Cr        0.080
Al       16.358
Si       16.129
B         3.324
F         1.663
O        49.428
H         0.413
 
Boromuscovite    Al1.92 (Si3 B) K.41 O12
Al       14.597
Si       23.741
B         3.046
K         4.517
O        54.098
 
Boromuscovite    Al.82 (Si3 B) K.2 (O12 H2)
Al        6.935
Si       26.411
B         3.389
K         2.451
O        60.182
H         0.632
 
Hornblende    Si6.232 Al2.318 Mg3.33 Fe1.08 Ti.12 Cr.08 Ca1.84 Na.744 K.039 H2 O24
Si       20.185
Al        7.213
Mg        9.334
Fe        6.956
Ti        0.663
Cr        0.480
Ca        8.505
Na        1.973
K         0.176
H         0.232
O        44.284
 
Hornblende    Si6.168 Al2.512 Mg3.43 Fe1.03 Ti.04 Ca1.82 Na.774 K.005 H2 O24
Si       20.126
Al        7.874
Mg        9.685
Fe        6.683
Ti        0.223
Ca        8.474
Na        2.067
K         0.023
H         0.234
O        44.611
 
Hornblende    Si6.568 Al2.142 Mg3.7 Fe.59 Ti.04 Cr.04 Ca1.88 Na.586 K.336 H2 O24
Si       21.522
Al        6.743
Mg       10.492
Fe        3.844
Ti        0.223
Cr        0.243
Ca        8.791
Na        1.572
K         1.533
H         0.235
O        44.801
 
Hornblende    Si6.2 Al2.66 Mg3.55 Fe.83 Ca1.76 Na.76 K.024 H2 O24
Si       20.402
Al        8.409
Mg       10.109
Fe        5.431
Ca        8.265
Na        2.047
K         0.110
H         0.236
O        44.990
 
Hornblende    Si6.368 Al2.242 Mg3.9 Fe.55 Ti.04 Cr.06 Ca1.84 Na.68 K.037 H2 O24
Si       21.123
Al        7.144
Mg       11.195
Fe        3.628
Ti        0.226
Cr        0.368
Ca        8.709
Na        1.846
K         0.171
H         0.238
O        45.351
 
Hornblende    Si6.312 Al2.318 Mg3.88 Fe.53 Ti.04 Cr.04 Ca1.84 Na.7 K.04 H2 O24
Si       20.976
Al        7.401
Mg       11.159
Fe        3.502
Ti        0.227
Cr        0.246
Ca        8.726
Na        1.904
K         0.185
H         0.239
O        45.436
 
Hornblende    Si6.216 Al2.434 Mg3.53 Fe.86 Ti.06 Cr.06 Ca1.84 Na.775 K.03 H2 O24
Si       20.328
Al        7.647
Mg        9.990
Fe        5.592
Ti        0.335
Cr        0.363
Ca        8.587
Na        2.075
K         0.137
H         0.235
O        44.712
 
Hornblende    Si6.176 Al2.574 Mg3.78 Fe.59 Ti.04 Cr.02 Ca1.82 Na.892 K.01 H2 O24
Si       20.394
Al        8.166
Mg       10.802
Fe        3.874
Ti        0.225
Cr        0.122
Ca        8.576
Na        2.411
K         0.046
H         0.237
O        45.147
 
Pargasite    Si6.088 Al2.812 Mg3.82 Fe.64 Cr.04 Ca3.64 Na.933 K.013 H2 O24
Si       18.358
Al        8.146
Mg        9.969
Fe        3.838
Cr        0.223
Ca       15.663
Na        2.303
K         0.055
H         0.216
O        41.228
 
Pargasite    Si6.096 Al2.814 Mg3.81 Fe.44 Cr.04 Ca1.8 Na.915 K.01 H2 O24
Si       20.238
Al        8.975
Mg       10.946
Fe        2.905
Cr        0.246
Ca        8.528
Na        2.487
K         0.046
H         0.238
O        45.391
 
Hornblende    Si6.608 Al1.702 Mg4.14 Fe.35 Ti.06 Cr.22 Ca1.92 Na.533 K.17 H2 O24
Si       21.890
Al        5.416
Mg       11.868
Fe        2.305
Ti        0.339
Cr        1.349
Ca        9.076
Na        1.445
K         0.784
H         0.238
O        45.290
 
Pargasite    Si6.072 Al2.838 Mg3.8 Fe.47 Cr.02 Ca1.8 Na.935 K.007 H2 O24
Si       20.142
Al        9.044
Mg       10.909
Fe        3.100
Cr        0.123
Ca        8.521
Na        2.539
K         0.032
H         0.238
O        45.353
 
Pargasite    Si6.096 Al2.824 Mg3.81 Fe.43 Cr.04 Ca1.76 Na.948 K.01 H2 O24
Si       20.266
Al        9.019
Mg       10.961
Fe        2.843
Cr        0.246
Ca        8.349
Na        2.580
K         0.046
H         0.239
O        45.451
 
Cuspidine    (Na Ca2) Lu Si2 O7 F2
Na        4.747
Ca       16.552
Lu       36.130
Si       11.599
O        23.126
F         7.846
 
Olivenite    As Cu2 O5
As       26.567
Cu       45.066
O        28.367
 
Olivenite    As Cu2 O5
As       26.567
Cu       45.066
O        28.367
 
Varennesite    Na8 Mn2 Si10 O39 H2
Na       15.318
Mn        9.151
Si       23.392
O        51.970
H         0.168
 
Lindsleyite    Ba Mn3 Ti18 O38
Ba        7.750
Mn        9.301
Ti       48.638
O        34.311
 
Zippeite    K U2 S O12 H1.814
K         5.276
U        64.242
S         4.327
O        25.908
H         0.247
 
Guilleminite    Ba U3 Se2 O17 H6
Ba       10.667
U        55.469
Se       12.267
O        21.128
H         0.470
 
Geminite    Cu As H3 O5
Cu       28.690
As       33.826
H         1.365
O        36.118
 
Mottramite    Cu Pb V H O5
Cu       15.780
Pb       51.454
V        12.650
H         0.250
O        19.866
 
Diaboleite    Pb2 Cu Cl2 O4 H4
Pb       67.177
Cu       10.301
Cl       11.494
O        10.374
H         0.654
 
Hambergite    Be2 B H O4
Be       19.207
B        11.521
H         1.074
O        68.198
 
Hambergite    Be2 B H O4
Be       19.207
B        11.521
H         1.074
O        68.198
 
Hambergite    Be2 B H O4
Be       19.207
B        11.521
H         1.074
O        68.198
 
Hambergite    Be2 B H O4
Be       19.207
B        11.521
H         1.074
O        68.198
 
Hambergite    Be2 B H O4
Be       19.207
B        11.521
H         1.074
O        68.198
 
Uvite    Ca.43 Na.4 Mg2.49 Al6.45 Cr.06 Si6 B3 H3 O31
Ca        1.788
Na        0.954
Mg        6.278
Al       18.052
Cr        0.324
Si       17.480
B         3.364
H         0.314
O        51.448
 
Murataite    Y2.22 Dy.3 Ho.12 Er.3 Tm.06 Yb.3 Lu.06 Na4.06 Ca.36 Mn.18 Ti9.56 Nb1.56 Zn2.81 Fe Si.11 O32.34 F8
Y         9.766
Dy        2.412
Ho        0.979
Er        2.483
Tm        0.502
Yb        2.569
Lu        0.519
Na        4.618
Ca        0.714
Mn        0.489
Ti       22.648
Nb        7.171
Zn        9.092
Fe        2.763
Si        0.153
O        25.602
F         7.520
 
Jensenite    Cu3 Te O8 H4
Cu       42.339
Te       28.339
O        28.427
H         0.895
 
Clinoatacamite    Cu2 O3 Cl
Cu       60.364
O        22.797
Cl       16.839
 
Ludlockite    Pb Fe4 As10 O22
Pb       13.527
Fe       14.583
As       48.911
O        22.979
 
Shigaite    Mn6 Al3 Na S2 H42 O38
Mn       28.713
Al        7.051
Na        2.003
S         5.586
H         3.688
O        52.959
 
Rapidcreekite    Ca2 S C O11 H8
Ca       26.000
S        10.401
C         3.896
O        57.087
H         2.616
 
Phosinaite-(Ce)    Si4 P4 Na12.72 Ca1.98 Mn.16 Ce.49 La.32 Th.09 Nd.07 Pr.02 O28
Si        9.271
P        10.225
Na       24.134
Ca        6.549
Mn        0.725
Ce        5.666
La        3.668
Th        1.723
Nd        0.833
Pr        0.233
O        36.971
 
Muscovite    Al1.94 Si3.86 K.86 (O12 H2)
Al       13.477
Si       27.913
K         8.657
O        49.433
H         0.519
 
Muscovite    Al1.96 Si3.8 K.94 (O12 H2)
Al       13.547
Si       27.339
K         9.415
O        49.182
H         0.516
 
Muscovite    Al1.93 Si3.772 K.894 (O12 H2)
Al       13.457
Si       27.376
K         9.033
O        49.614
H         0.521
 
Fluor-nyboite    Si7.6 Al1.66 Mg2.6 Fe1.12 Ti.02 Ca.48 Na5.52 H.86 O22.86 F1.14
Si       23.217
Al        4.872
Mg        6.874
Fe        6.804
Ti        0.104
Ca        2.093
Na       13.804
H         0.094
O        39.783
F         2.356
 
Fluor-nyboite    Si7.52 Al1.6 Mg2.42 Fe1.44 Ti.02 Ca.48 Na5.52 H.84 O22.84 F1.16
Si       22.734
Al        4.647
Mg        6.331
Fe        8.656
Ti        0.103
Ca        2.071
Na       13.660
H         0.091
O        39.335
F         2.372
 
Nyboite    Si7.44 Al1.94 Mg2.7 Fe.96 Ti.04 Ca.4 Na5.52 H1.78 O23.78 F.22
Si       22.916
Al        5.741
Mg        7.197
Fe        5.880
Ti        0.210
Ca        1.758
Na       13.918
H         0.197
O        41.726
F         0.458
 
Fluor-taramite    Si7.28 Al1.58 Mg2.43 Fe1.69 Ti.02 Ca.8 Na5.2 H.98 O22.98 F1.02
Si       21.725
Al        4.530
Mg        6.276
Fe       10.028
Ti        0.102
Ca        3.407
Na       12.702
H         0.105
O        39.066
F         2.059
 
Taramite    Si7.12 Al2 Mg2.94 Fe.9 Ti.04 Ca1.06 Na4.94 H2 O24
Si       21.745
Al        5.868
Mg        7.770
Fe        5.466
Ti        0.208
Ca        4.620
Na       12.350
H         0.219
O        41.755
 
Taramite    Si7.04 Al2.16 Mg2.34 Fe1.48 Ti.04 Ca1.2 Na4.74 H2 O24
Si       21.023
Al        6.197
Mg        6.047
Fe        8.788
Ti        0.204
Ca        5.114
Na       11.586
H         0.214
O        40.827
 
Katophorite    Si7.24 Al1.98 Mg2.42 Fe1.4 Ti.04 Ca1.12 Na4.8 H1.74 O23.74 F.26
Si       21.691
Al        5.699
Mg        6.274
Fe        8.340
Ti        0.204
Ca        4.788
Na       11.772
H         0.187
O        40.517
F         0.527
 
Katophorite    Si7.16 Al1.84 Mg2.34 Fe1.82 Ti.02 Ca1.26 Na4.56 H1.64 O23.64 F.36
Si       21.117
Al        5.213
Mg        5.972
Fe       10.674
Ti        0.101
Ca        5.303
Na       11.009
H         0.174
O        39.719
F         0.718
 
Pargasite    Si7.24 Al1.12 Mg3.69 Fe.73 Ti.1 Cr.28 Ca1.48 Na4.36 H1.94 O23.94 F.06
Si       21.887
Al        3.253
Mg        9.654
Fe        4.388
Ti        0.515
Cr        1.567
Ca        6.385
Na       10.789
H         0.210
O        41.229
F         0.123
 
Pargasite    Si7.08 Al1.85 Mg3.41 Fe.76 Ti.02 Ca.98 Na4.9 H2 O24
Si       21.780
Al        5.467
Mg        9.078
Fe        4.649
Ti        0.105
Ca        4.302
Na       12.339
H         0.221
O        42.059
 
Pargasite    Si7.04 Al1.9 Mg3.69 Fe.49 Ti.02 Cr.04 Ca1.78 Na4.04 H1.96 O23.96 F.04
Si       21.506
Al        5.576
Mg        9.755
Fe        2.976
Ti        0.104
Cr        0.226
Ca        7.760
Na       10.102
H         0.215
O        41.696
F         0.083
 
Pargasite    Si7.04 Al2.04 Mg3.23 Fe.69 Ca1.76 Na4.24 H1.96 O23.96 F.04
Si       21.401
Al        5.958
Mg        8.497
Fe        4.171
Ca        7.635
Na       10.551
H         0.214
O        41.492
F         0.082
 
Keyite    Cu1.5 Zn2 Cd As3 O14 H4
Cu       12.046
Zn       16.527
Cd       14.206
As       28.405
O        28.307
H         0.510
 
Shomiokite-(Y)    Y Na3 C3 O12
Y        23.039
Na       17.872
C         9.337
O        49.752
 
Penobsquisite    Ca2 Fe Cl B9 O23 H15
Ca       12.297
Fe        8.567
Cl        5.439
B        14.926
O        56.452
H         2.319
 
Perovskite    Ti Ca O3
Ti       35.217
Ca       29.479
O        35.304
 
Sabinaite    Na4 Zr2 Ti C4 O16
Na       14.682
Zr       29.130
Ti        7.645
C         7.671
O        40.872
 
Iimoriite-(Y)    Y2 Si C O7
Y        53.898
Si        8.513
C         3.641
O        33.948
 
Iimoriite-(Y)    Y2 Si C O7
Y        53.898
Si        8.513
C         3.641
O        33.948
 
Spiroffite    Te3 Mn2 O8
Te       61.675
Mn       17.703
O        20.622
 
Sigismundite    Al.5 Ca.94 Sr.25 Na2.63 Ba.38 K.06 Pb.03 Fe6.02 Mg4.36 P12 O50
Al        0.746
Ca        2.084
Sr        1.211
Na        3.344
Ba        2.886
K         0.130
Pb        0.344
Fe       18.594
Mg        5.861
P        20.557
O        44.244
 
Hornblende    Si7.28 Al Mg3.49 Fe1.33 Ti.06 Ca1.66 Na.625 Mn.02 K.015 H2 O23.8 F.2
Si       23.703
Al        3.128
Mg        9.834
Fe        8.611
Ti        0.333
Ca        7.713
Na        1.666
Mn        0.127
K         0.068
H         0.234
O        44.144
F         0.440
 
Fluor-arfvedsonite    Si7.88 Al.12 Fe4.3 Ti.06 Zn.06 Li.48 Mn.1 Na2.68 K.32 O22.84 F1.16 H2
Si       23.446
Al        0.343
Fe       25.441
Ti        0.304
Zn        0.416
Li        0.353
Mn        0.582
Na        6.527
K         1.325
O        38.714
F         2.335
H         0.214
 
Fluor-arfvedsonite    (Si7.76 Al.24) Fe3.88 Ti.06 Zn.06 Li Na2.75 K.25 O22.64 F1.36 H2
Si       23.743
Al        0.705
Fe       23.606
Ti        0.313
Zn        0.427
Li        0.756
Na        6.888
K         1.065
O        39.462
F         2.815
H         0.220
 
Liottite    Si18 Al18 O92 Ca6 K33 F.501 Cl3.5 S5.002
Si       11.790
Al       11.327
O        34.328
Ca        5.608
K        30.091
F         0.222
Cl        2.894
S         3.741
 
Marialite    Na4 (Si9 Al3) O24 Cl.98
Na       10.890
Si       29.935
Al        9.586
O        45.474
Cl        4.115
 
Marialite    (Na3.52 K.28 Ca.2) (Si8.88 Al3.12) O24 Cl
Na        9.488
K         1.284
Ca        0.940
Si       29.241
Al        9.870
O        45.021
Cl        4.157
 
Marialite    (Na3.44 K.28 Ca.28) (Si8.76 Al3.24) O24.05 Cl.95 H
Na        9.259
K         1.282
Ca        1.314
Si       28.803
Al       10.234
O        45.048
Cl        3.943
H         0.118
 
Marialite    Na3.52 K.16 Ca.28 (Si8.76 Al3.24) O24.04 Cl.96 H
Na        9.503
K         0.735
Ca        1.318
Si       28.893
Al       10.266
O        45.169
Cl        3.997
H         0.118
 
Staurolite    Si4 Fe.69 Zn1.2 Mg.68 Al8.4 Ti.04 O24
Si       13.087
Fe        4.489
Zn        9.141
Mg        1.925
Al       26.403
Ti        0.223
O        44.732
 
Vesuvianite    Si18 Ca19 Fe2.68 Al11.04 B2.72 O78.8
Si       16.825
Ca       25.343
Fe        4.981
Al        9.914
B         0.979
O        41.959
 
Vesuvianite    Si18 Ca19 Fe2.68 Al11.04 B2.72 H8 O78.86
Si       16.774
Ca       25.267
Fe        4.966
Al        9.884
B         0.976
H         0.268
O        41.865
 
Schoepite    U4 O21 H18
U        72.889
O        25.722
H         1.389
 
Nezilovite    Pb Al Fe6.04 Ti.44 Mn2.52 Zn1.9 O19
Pb       17.874
Al        2.328
Fe       29.098
Ti        1.817
Mn       11.943
Zn       10.717
O        26.223
 
Magnetoplumbite    (Pb.98 Ba.02) Fe9.37 Mg.25 Mn1.8 Sb.58 O19
Pb       16.800
Ba        0.227
Fe       43.295
Mg        0.503
Mn        8.182
Sb        5.842
O        25.151
 
Hibonite    Ca.85 Ce.06 La.03 Nd.01 Mg.53 Al10.66 Fe.3 Si.06 Ti.5 O19
Ca        4.902
Ce        1.210
La        0.600
Nd        0.208
Mg        1.854
Al       41.387
Fe        2.411
Si        0.242
Ti        3.445
O        43.742
 
Gallobeudantite    Pb6 Ga3 As S O17 H9
Pb       67.550
Ga       11.365
As        4.071
S         1.742
O        14.779
H         0.493
 
Sheldrickite    Na Ca3 C2 O7 F3
Na        6.837
Ca       35.759
C         7.144
O        33.309
F        16.951
 
Horvathite-(Y)    Na Y C O3 F2
Na       10.953
Y        42.356
C         5.722
O        22.867
F        18.102
 
Brianroulstonite    Ca3 Cl2 B5 O21 H23
Ca       19.894
Cl       11.732
B         8.944
O        55.594
H         3.836
 
Leisingite    Te Cu2 Mg O12
Te       27.092
Cu       26.984
Mg        5.160
O        40.764
 
Deanesmithite    Hg5 Cr S2 O5
Hg       83.644
Cr        4.336
S         5.348
O         6.672
 
Zvyagintsevite    (Pd2.88 Pt.12) (Pb.89 Bi.11)
Pd       57.043
Pt        4.357
Pb       34.322
Bi        4.278
 
Wicksite    P6 Fe4.24 Mg.96 Al.18 Mn.6 Ca2 Na H4 O26
P        18.456
Fe       23.516
Mg        2.317
Al        0.482
Mn        3.274
Ca        7.960
Na        2.283
H         0.400
O        41.311
 
Marshite    Cu I
Cu       33.366
I        66.634
 
Brackebuschite    Pb2 Mn V2 O9 H
Pb       57.859
Mn        7.671
V        14.225
O        20.105
H         0.141
 
Vistepite    Sn Mn4 Si4 B2 H2 O18
Sn       15.570
Mn       28.823
Si       14.735
B         2.836
H         0.264
O        37.772
 
Nuffieldite    Pb2.37 Bi2.39 Sb.24 Cu1.37 S7
Pb       36.887
Bi       37.518
Sb        2.195
Cu        6.539
S        16.861
 
Jorgensenite    Sr5.8 Ba1.2 Al6 Na2 (O2 F32) H2
Sr       33.372
Ba       10.822
Al       10.631
Na        3.019
O         2.101
F        39.923
H         0.132
 
Burangaite    Na Al5 Fe P4 H10 O24
Na        3.142
Al       18.437
Fe        7.632
P        16.932
H         1.378
O        52.478
 
Norbergite    (Mg2.979 Fe.021) (Si.985 B.015) H.454 O4.462 F1.538
Mg       35.761
Fe        0.579
Si       13.663
B         0.080
H         0.226
O        35.259
F        14.432
 
Norbergite    (Mg2.979 Fe.021) (Si.985 B.015) H.478 O4.486 F1.514
Mg       35.769
Fe        0.579
Si       13.667
B         0.080
H         0.238
O        35.457
F        14.210
 
Redledgeite    Ba.561 Ti4 O8
Ba       19.427
Ti       48.296
O        32.277
 
Potassicpargasite    Mg2.65 Fe1.65 Al2.36 Ti.1 Ca1.98 Na1.74 K2.16 Si6.24 O23.14 F.86 H2
Mg        6.488
Fe        9.283
Al        6.415
Ti        0.482
Ca        7.994
Na        4.030
K         8.508
Si       17.655
O        37.296
F         1.646
H         0.203
 
Latrappite    (Ca.75 Na.25) (Nb.57 Fe.15 Ti.28) O3
Ca       18.959
Na        3.625
Nb       33.402
Fe        5.284
Ti        8.456
O        30.274
 
Richetite    U36 Pb8.74 Fe.47 Mg.83 O173
U        64.945
Pb       13.725
Fe        0.199
Mg        0.153
O        20.978
 
Annite-Cs    Cs Fe3 (Si3 Al) O12
Cs       22.016
Fe       27.753
Si       13.957
Al        4.470
O        31.804
 
Loveringite    Ca1.6 Mn3 Ti17.4 O38
Ca        3.840
Mn        9.869
Ti       49.886
O        36.405
 
Loveringite    Ca1.5 Mn2.3 Ti18.2 O38
Ca        3.609
Mn        7.585
Ti       52.310
O        36.496
 
Gerenite-(Y)    Si6 Y3 Ca2 O20 H4
Si       20.075
Y        31.775
Ca        9.549
O        38.121
H         0.480
 
Kukharenkoite-(Ce)    Ba2 Ce F C3 O9
Ba       44.747
Ce       22.828
F         3.095
C         5.871
O        23.460
 
Tadzhikite-(Y)    Si4 Ti.56 Fe.3 Al.07 Mn.04 B4 Ca4 (Y2 Na2) (Ce8 Nd8 La8 Dy4 Pr4 Gd4 Sm4 Er4) (O38 H12)
Si        1.458
Ti        0.348
Fe        0.217
Al        0.025
Mn        0.029
B         0.561
Ca        2.080
Y         2.307
Na        0.597
Ce       14.545
Nd       14.973
La       14.419
Dy        8.434
Pr        7.314
Gd        8.162
Sm        7.804
Er        8.681
O         7.889
H         0.157
 
Dugganite    Te As6 Pb3 Zn3 O18
Te        7.582
As       26.712
Pb       36.936
Zn       11.657
O        17.113
 
Muscovite    Al2.88 Fe.02 Mn.02 Si3.08 (K.89 Na.1 Rb.01) H4 O12
Al       19.407
Fe        0.279
Mn        0.274
Si       21.604
K         8.691
Na        0.574
Rb        0.213
H         1.007
O        47.950
 
Muscovite    Al2.88 Fe.02 Mn.02 Si3.08 (K.89 Na.1 Rb.01) H4 O12
Al       19.407
Fe        0.279
Mn        0.274
Si       21.604
K         8.691
Na        0.574
Rb        0.213
H         1.007
O        47.950
 
Vesuvianite    Si18 Ca19 Al9.92 Mg1.92 Fe1.16 H11 O78
Si       17.401
Ca       26.211
Al        9.213
Mg        1.606
Fe        2.230
H         0.382
O        42.956
 
Vesuvianite    Si9 Ca9.5 Al4.96 Mg.96 Fe.58 O39 H5
Si       17.407
Ca       26.220
Al        9.216
Mg        1.607
Fe        2.231
O        42.971
H         0.347
 
Na2MgGd2(Si4O12)F2    Gd2 Si4 Mg Na2 F2 O12
Gd       43.253
Si       15.450
Mg        3.343
Na        6.324
F         5.226
O        26.405
 
Paracelsian    Ba Zn2 P2 O8
Ba       29.981
Zn       28.551
P        13.524
O        27.944
 
Paracelsian    Ba Zn2 As2 O8
Ba       25.154
Zn       23.955
As       27.447
O        23.445
 
Paracelsian    Sr Zn2 As2 O8
Sr       17.657
Zn       26.354
As       30.196
O        25.793
 
Celestine    Sr S O4
Sr       47.702
S        17.457
O        34.841
 
Anglesite    Pb S O4
Pb       68.323
S        10.574
O        21.103
 
Barite    Ba S O4
Ba       58.840
S        13.739
O        27.421
 
Compreignacite    U6 K2.04 O28.84 H12.62
U        72.054
K         4.024
O        23.280
H         0.642
 
Boltwoodite    U Si K.56 Na.21 O7.27 H4.84
U        57.491
Si        6.783
K         5.288
Na        1.166
O        28.093
H         1.178
 
Blatterite    Sb3 Mn41.28 Al.28 Mg10.44 B16 O80
Sb        8.402
Mn       52.166
Al        0.174
Mg        5.837
B         3.979
O        29.442
 
Trembathite    (Mg1.56 Fe1.44) B7 O13 Cl
Mg        8.667
Fe       18.383
B        17.299
O        47.546
Cl        8.104
 
Schoenfliesite    Mg Sn H6 O6
Mg        9.918
Sn       48.441
H         2.468
O        39.173
 
Wickmanite    Mn Sn H6 O6
Mn       19.927
Sn       43.059
