M5-N7,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
Ca,20,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,10739.24761,9071.057686,7695.067236,7077.222086,6171.602034,5438.682823,4787.7636,4184.455847,3652.536907,3059.510558,2711.047242,2404.166504,2147.452814,1924.650929,1727.254343,1552.336992,1398.808615,1260.145622,1135.28994,1025.942009,928.72135,837.635173,764.152287,695.250163,633.318093,578.049862,528.783621,484.80417,445.231921,403.527719,370.497651,340.729031,315.032735,301.892508,270.711831,252.902286,233.979215,215.783454
Sc,21,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,11512.9589,9743.302456,8286.051627,7629.181215,6663.142418,5877.862203,5178.93978,4530.351482,3957.506832,3317.368286,2940.459258,2607.975998,2329.874807,2089.874553,1882.34385,1697.355763,1534.104089,1382.552233,1245.392118,1126.245939,1020.6419,922.394727,842.44255,766.881775,698.507362,637.218993,582.611906,533.887965,490.06766,443.910414,407.368995,374.450297,346.05107,331.53497,297.111757,277.481155,256.62994,236.601894
Ti,22,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,12683.14721,10779.0705,9179.916248,8458.760811,7400.767086,6544.002529,5781.617695,5054.512543,4411.334064,3696.074483,3276.207695,2906.872736,2598.537858,2332.571829,2102.792178,1897.964319,1717.172597,1552.682364,1404.092858,1274.894644,1158.380755,1046.606937,956.190986,871.197984,794.771471,726.517731,664.841646,609.356983,559.286569,506.428557,464.599777,426.930878,394.436256,377.827568,338.466628,316.065221,292.274009,269.450203
V,23,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,13918.2574,11837.24038,10117.98616,9343.2286,8194.922265,7252.510232,6413.444551,5615.656677,4905.611702,4112.169645,3646.348334,3235.952484,2892.912262,2596.848419,2340.900257,2112.711716,1911.278041,1727.888739,1562.220986,1418.151162,1289.842131,1169.766954,1072.033147,979.630952,894.431304,817.055437,748.083245,686.490039,630.925638,572.248961,525.140455,482.416026,445.570638,426.742117,382.150947,356.833311,329.946958,304.20721
Cr,24,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,15895.07722,13518.78871,11563.08726,10678.71485,9376.241402,8316.055603,7367.5073,6456.487776,5647.822542,4743.813955,4209.622426,3736.841529,3341.493231,3000.027126,2704.156772,2440.234307,2207.156623,1994.8996,1803.163607,1636.350102,1487.805733,1348.78674,1235.96566,1129.582345,1033.456473,947.252434,869.146196,798.694727,734.296915,665.688941,611.381008,562.441951,519.881973,497.985056,446.079826,416.503301,385.096075,355.08779
Mn,25,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,15309.68219,12902.99728,12551.83435,11603.36602,10203.51171,9060.699092,8036.174035,7079.657941,6216.428094,5231.320795,4647.007884,4131.64202,3695.838455,3318.247598,2991.47019,2699.765657,2441.992553,2206.772836,1994.219001,1809.229916,1644.512843,1490.337965,1365.209935,1247.217942,1140.561733,1044.903448,959.245097,882.469328,813.077304,739.631988,680.063384,625.726235,578.631369,554.468557,497.247454,464.882266,430.465943,397.146147
Fe,26,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,12310.17303,14762.04893,12480.53656,11550.09938,11486.52536,10199.71593,9053.656017,7982.477228,7031.323888,5958.302658,5313.694391,4724.625737,4231.450171,3804.335458,3431.641345,3097.764895,2801.842029,2531.932391,2288.002038,2075.292425,1885.855282,1708.430341,1564.438944,1428.66736,1305.98646,1195.997512,1097.512325,1009.257562,929.50911,845.129642,778.043761,717.393208,664.612416,637.445658,572.803098,535.58744,496.007927,458.33672
Co,27,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,2103.792746,1816.523864,13764.9844,12617.54527,10956.43092,10963.2852,9746.050485,8613.414063,7603.283915,6458.759821,5776.270384,5169.574649,4640.298059,4175.377876,3767.406624,3402.382316,3079.164251,2782.583979,2514.243113,2280.535372,2072.358644,1877.31135,1718.955616,1569.586921,1434.591531,1313.550811,1205.170348,1108.055784,1020.308447,927.477536,853.678282,786.967415,729.207414,699.60185,629.432602,589.902554,547.757341,506.604067
Ni,28,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,2462.164891,2125.809055,1844.815422,1717.178976,12795.46043,11235.47528,9868.555939,9846.890713,8667.485379,7358.958826,6587.387586,5903.735273,5319.237606,4806.742692,4352.859625,3938.696335,3565.888216,3225.212689,2917.01308,2648.195872,2408.647634,2184.223114,2001.410775,1828.44991,1671.183968,1529.606562,1402.841072,1289.273373,1186.71683,1078.275801,992.092396,914.212277,846.82058,812.293693,730.485311,684.413233,635.308209,588.536177
Cu,29,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,2743.890597,2353.082666,2021.44482,1873.100699,1654.496582,9052.6506,10946.99562,9257.105912,8494.90721,7591.320577,6813.371898,6106.392762,5506.711792,4984.25002,4530.399473,4122.275961,3758.964819,3407.80496,3085.740428,2803.682472,2551.99801,2315.75761,2123.555646,1941.903303,1776.922498,1628.456183,1493.896908,1372.515472,1262.888959,1146.979043,1054.928537,971.790589,899.886654,863.062984,775.847991,726.780598,674.493411,624.710733
