M4-N6,NIST-Chantler 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Elm,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U
,Z,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
K,19,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,8949.151453,7829.049748,6499.849538,6515.63983,4469.804059,3934.637891,3459.491703,3044.270876,2666.318476,2380.664484,2098.19921,1840.159293,1634.378417,1454.993923,1303.138582,1170.250772,1052.130272,943.23591,846.883691,765.879557,689.229044,620.349683,566.60277,514.843244,468.206652,426.896042,389.786863,356.808279,326.697646,295.921029,271.116681,248.903762,229.634819,217.219602,195.229651,181.549247,166.85541,153.371954
Ca,20,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,10582.41871,9277.592606,7720.444123,7738.974167,5333.158652,4702.964987,4136.261911,3640.499021,3191.854347,2857.753318,2530.519079,2230.424972,1988.981796,1770.762176,1586.29843,1426.764842,1285.228952,1154.767993,1037.552206,938.633162,844.196314,759.384557,693.242352,629.571751,572.230137,521.458754,475.873776,435.383196,398.432964,360.684248,330.277444,303.062633,279.466498,264.273942,237.379507,220.661022,202.716044,186.257066
Sc,21,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,11346.51222,9962.559903,8312.959678,8332.606915,5764.597151,5087.840981,4478.511326,3944.528618,3460.426628,3099.240776,2744.875617,2419.757005,2158.191367,1928.150615,1733.40324,1563.867913,1410.136803,1266.680924,1138.900585,1031.321281,929.478397,837.215324,764.679329,694.351954,630.767238,574.495157,523.997205,479.164965,438.273498,396.515338,362.89674,332.827468,306.769369,290.014897,260.376163,241.968638,222.226021,204.124817
Ti,22,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,12503.7208,11015.34178,9209.472577,9231.052972,6420.592041,5682.089692,4996.099195,4396.806725,3855.573949,3452.887451,3058.963166,2698.134535,2408.230035,2153.527368,1937.860491,1750.14822,1582.507782,1427.1528,1288.641993,1170.532158,1054.664914,950.313635,868.71946,790.148145,719.324482,655.599379,598.092506,546.79941,499.97464,452.178709,413.71282,379.306276,349.498445,330.367753,296.5482,275.563609,253.074426,232.456292
V,23,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,13723.55595,12095.72243,10149.81231,10173.04852,7116.73838,6303.847877,5551.565625,4889.491627,4289.019365,3842.479369,3404.96186,3003.76177,2681.099528,2397.412157,2157.165624,1948.01719,1761.144648,1587.934745,1433.479354,1302.869416,1178.438694,1065.652099,976.932203,889.188407,808.903972,737.828631,673.976023,617.072612,565.077755,511.050929,467.427139,428.418341,394.633681,372.997552,334.777044,311.096985,285.750436,262.508349
Cr,24,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,15670.07208,13813.60406,11599.30119,11625.74059,8162.684841,7243.47779,6383.135558,5629.532319,4946.282337,4434.930562,3931.557883,3469.262254,3097.322034,2769.481512,2491.677443,2249.663953,2033.391021,1832.933145,1654.095521,1502.891411,1358.824787,1228.619558,1126.475041,1027.624475,938.153628,857.423503,784.368742,718.096275,657.306267,595.249716,545.255846,499.934575,460.636535,435.38647,390.738177,363.114904,333.582562,306.498998
Mn,25,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,15080.91243,13200.14407,12591.02527,12619.63792,8895.120009,7902.123329,7002.918265,6196.573948,5452.936894,4893.092125,4343.99627,3837.164243,3425.760599,3063.623371,2756.65808,2489.004433,2249.446254,2027.229269,1828.906368,1661.246297,1501.468559,1357.060765,1243.772265,1134.08864,1034.809577,946.475933,866.846686,795.756834,730.640702,662.153725,606.642359,556.620183,513.233528,485.550699,436.652409,406.09796,373.160682,342.944529
Fe,26,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,12122.31029,15111.07754,12522.5322,12553.19893,10014.55633,8903.633723,7896.494277,7009.727138,6199.765795,5588.93716,4967.352452,4390.89899,3926.492891,3513.951456,3163.07932,2855.810363,2580.894175,2325.931361,2097.915073,1905.116014,1721.237264,1555.060128,1424.703285,1298.542319,1184.39396,1082.831525,991.30363,909.606343,834.802696,758.067284,696.060802,639.865798,591.024557,559.353925,503.122918,468.401662,431.339851,397.171166
Co,27,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,2076.9151,1852.443035,13812.7539,13847.64006,10766.0619,9586.673739,8522.48885,7580.260635,6716.361336,6064.391417,5420.046097,4813.560366,4308.756842,3857.517835,3473.696269,3138.124763,2836.456114,2555.936804,2305.39144,2093.532871,1891.390026,1708.636975,1565.226128,1426.398763,1300.782533,1189.014538,1088.301693,998.410353,916.117708,831.704188,763.506826,702.239598,648.993064,615.157575,555.341848,517.692603,476.85771,439.282258
Ni,28,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,###,2430.698084,2167.842273,1850.0566,1853.88217,11013.62822,9691.849772,9739.144872,8640.939453,7650.373897,6912.665943,6186.093887,5509.4539,4954.421133,4453.254853,4020.933025,3633.905506,3287.047819,2964.93521,2676.797405,2432.997254,2200.430201,1989.465205,1823.398973,1661.599496,1514.675078,1383.944974,1266.178313,1161.132209,1065.009052,966.435925,886.831046,815.369659,753.287079,713.846322,644.14402,601.036987,554.961128,512.356252
