id,symbolA,family,transition,symbolB,incidentEnergy,weightFractionA,kRatio,takeoffAngle
201,W,M,a,B,20.00,0.9445,0.9375,40.00
202,W,M,a,B,25.00,0.9445,0.9463,40.00
203,W,M,a,B,30.00,0.9445,0.9530,40.00
204,W,L,a,B,12.00,0.9445,0.8918,40.00
205,W,L,a,B,15.00,0.9445,0.8990,40.00
206,W,L,a,B,20.00,0.9445,0.9103,40.00
207,W,L,a,B,25.00,0.9445,0.9198,40.00
208,W,L,a,B,30.00,0.9445,0.9264,40.00
209,Au,M,a,Cu,5.20,0.5080,0.4259,40.00
210,Au,M,a,Cu,10.40,0.5080,0.4203,40.00
211,Au,M,a,Cu,15.70,0.5080,0.4034,40.00
212,Au,M,a,Cu,20.80,0.5080,0.3865,40.00
213,Au,M,a,Cu,26.10,0.5080,0.3668,40.00
214,Au,M,a,Cu,31.50,0.5080,0.3499,40.00
215,Au,M,a,Cu,36.60,0.5080,0.3405,40.00
216,Au,M,a,Cu,39.70,0.5080,0.3349,40.00
217,Au,M,a,Cu,5.20,0.3000,0.2317,40.00
218,Au,M,a,Cu,10.40,0.3000,0.2317,40.00
219,Au,M,a,Cu,15.70,0.3000,0.2186,40.00
220,Au,M,a,Cu,20.80,0.3000,0.2054,40.00
221,Au,M,a,Cu,26.10,0.3000,0.1886,40.00
222,Au,M,a,Cu,31.50,0.3000,0.1773,40.00
223,Au,M,a,Cu,36.60,0.3000,0.1717,40.00
224,Au,M,a,Cu,39.70,0.3000,0.1689,40.00
225,Au,L,a,Cu,25.00,0.8020,0.7620,40.00
226,Au,L,a,Cu,20.00,0.8020,0.7610,40.00
227,Au,L,a,Cu,16.00,0.8020,0.7510,40.00
228,Cu,K,a,Au,25.00,0.1980,0.2350,40.00
229,Cu,K,a,Au,20.00,0.1980,0.2450,40.00
230,Cu,K,a,Au,16.00,0.1980,0.2520,40.00
231,Au,L,a,Cu,25.00,0.6040,0.5370,40.00
232,Au,L,a,Cu,20.00,0.6040,0.5300,40.00
233,Au,L,a,Cu,16.00,0.6040,0.5180,40.00
234,Cu,K,a,Au,25.00,0.3960,0.4470,40.00
235,Cu,K,a,Au,20.00,0.3960,0.4630,40.00
236,Cu,K,a,Au,16.00,0.3960,0.4720,40.00
237,Au,L,a,Cu,25.00,0.4010,0.3380,40.00
238,Au,L,a,Cu,20.00,0.4010,0.3340,40.00
239,Au,L,a,Cu,16.00,0.4010,0.3230,40.00
240,Cu,K,a,Au,25.00,0.5990,0.6430,40.00
241,Cu,K,a,Au,20.00,0.5990,0.6550,40.00
242,Cu,K,a,Au,16.00,0.5990,0.6700,40.00
243,Au,L,a,Cu,25.00,0.2010,0.1550,40.00
244,Au,L,a,Cu,20.00,0.2010,0.1530,40.00
245,Au,L,a,Cu,16.00,0.2010,0.1470,40.00
246,Cu,K,a,Au,25.00,0.7990,0.8270,40.00
247,Cu,K,a,Au,20.00,0.7990,0.8350,40.00
248,Cu,K,a,Au,16.00,0.7990,0.8450,40.00
249,Au,M,a,Cu,14.00,0.8020,0.7420,40.00
250,Au,M,a,Cu,12.00,0.8020,0.7450,40.00
251,Au,M,a,Cu,10.00,0.8020,0.7560,40.00
252,Cu,K,a,Au,14.00,0.1980,0.2570,40.00
253,Cu,K,a,Au,12.00,0.1980,0.2640,40.00
254,Au,M,a,Cu,14.00,0.6040,0.5110,40.00
255,Au,M,a,Cu,12.00,0.6040,0.5140,40.00
256,Au,M,a,Cu,10.00,0.6040,0.5230,40.00
257,Cu,K,a,Au,14.00,0.3960,0.4760,40.00
258,Cu,K,a,Au,12.00,0.3960,0.4940,40.00
259,Au,M,a,Cu,14.00,0.4010,0.3140,40.00
260,Au,M,a,Cu,12.00,0.4010,0.3160,40.00
261,Au,M,a,Cu,10.00,0.4010,0.3220,40.00
262,Cu,K,a,Au,14.00,0.5990,0.6750,40.00
263,Cu,K,a,Au,12.00,0.5990,0.6940,40.00
264,Au,M,a,Cu,14.00,0.2010,0.1430,40.00
