"Jump ratios as computed from the Chantler 2005",,,,"http://physics.nist.gov/PhysRefData/FFast/Text/cover.html"
,,,,,,,,,,,,,,,,"Springer 1967"
,,"K","L1","L2","L3","M1","M2","M3","M4","M5",,"All K","All L","All M",,"All K","All L","All M"
"Ho",67,4.75869,1.13631,1.36554,2.7608,1.04149,1.06529,1.16922,1.50386,3.80399,,4.75869,4.28386919182992,7.42106037372304,,5.79777,1.64807,2
"Er",68,4.70224,1.1357,1.36575,2.73832,1.03804,1.0654,1.16991,1.50202,3.76768,,4.70224,4.247359615278,7.32198710943735,,5.74977,1.64182,2
"Tm",69,4.6452,1.13346,1.36694,2.70906,1.03887,1.06418,1.16693,1.49986,3.73173,,4.6452,4.19734120210034,7.22074552358267,,5.70255,1.63562,2
"Yb",70,4.59107,1.13789,1.37293,2.69304,1.04108,1.06461,1.16852,1.49876,3.6994,,4.59107,4.20718374429881,7.18082231812327,,5.65611,1.62946,2
"Lu",71,4.53673,1.13829,1.37546,2.68847,1.03747,1.06474,1.17316,1.49433,3.61754,,4.53673,4.20926317883,7.00545296205278,,5.61041,1.62335,2
"Hf",72,4.48477,1.13795,1.37655,2.67509,1.03719,1.06361,1.16783,1.49077,3.52235,,4.48477,4.19038154899402,6.76493319866407,,5.56545,1.61729,2
"Ta",73,4.43201,1.13844,1.36527,2.66098,1.03598,1.06556,1.16762,1.48679,3.43384,,4.43201,4.13590261602722,6.58052422921934,,5.5212,1.61127,2
"W",74,4.38122,1.13849,1.36683,2.64639,1.03554,1.064,1.17349,1.4825,3.35171,,4.38122,4.11810645830001,6.42464355048306,,5.47765,1.60529,2
"Re",75,4.33129,1.13731,1.36465,2.57517,1.03526,1.06231,1.16672,1.47756,3.26872,,4.33129,3.99674133072806,6.19712408912202,,5.43478,1.59936,2
"Os",76,4.28269,1.1374,1.36563,2.56117,1.03364,1.06297,1.16583,1.47555,3.19522,,4.28269,3.97818228176754,6.03921148346952,,5.39258,1.59347,2
"Ir",77,4.24849,1.1391,1.3664,2.54585,1.03379,1.06468,1.16769,1.46986,3.10973,,4.24849,3.962529577104,5.87459103939422,,5.35103,1.58763,2
"Pt",78,4.18562,1.13724,1.36827,2.53099,1.03729,1.06239,1.166,1.4653,3.02995,,4.18562,3.93835046910505,5.70485653276496,,5.31011,1.58183,2
"Au",79,4.13886,1.1407,1.3698,2.51731,1.03586,1.06022,1.1563,1.46238,2.96888,,4.13886,3.9333745591866,5.51341221506512,,5.26981,1.57607,2
"Hg",80,4.1041,1.13693,1.36984,2.501,1.03422,1.0636,1.15753,1.45838,2.91794,,4.1041,3.8950878901912,5.41839389855575,,5.23013,1.57035,2
"Tl",81,4.06204,1.14076,1.37038,2.48173,1.03313,1.06243,1.16677,1.45595,2.87046,,4.06204,3.87962569343562,5.3522761449934,,5.19103,1.56468,2
"Pb",82,4.03006,1.13643,1.3717,2.46478,1.03473,1.06301,1.16807,1.45354,2.83433,,4.03006,3.84220019638818,5.29310686204614,,5.15251,1.55904,2
"Bi",83,3.99248,1.13732,1.3727,2.45549,1.03681,1.06623,1.1684,1.45086,2.81286,,3.99248,3.83350893521036,5.27126983474065,,5.11457,1.55345,2
"Po",84,3.98472,1.13608,1.37301,2.4347,1.03511,1.06405,1.17074,1.45088,2.76884,,3.98472,3.79776484918776,5.18010248018363,,5.07717,1.54789,2
"At",85,3.91936,1.13581,1.37386,2.42005,1.03598,1.06408,1.17352,1.46297,2.73282,,3.91936,3.77635232456833,5.17204857609986,,5.04032,1.54238,2
"Rn",86,3.88732,1.1354,1.37549,2.40341,1.03508,1.06427,1.17203,1.44065,2.74503,,3.88732,3.75348073428986,5.10587342543866,,5.004,1.5369,2
"Fr",87,3.85658,1.13533,1.37651,2.38894,1.03608,1.05641,1.17274,1.43855,2.62036,,3.85658,3.7334189442528,4.83853018785166,,4.9682,1.53146,2
"Ra",88,3.81052,1.13518,1.37722,2.37671,1.03307,1.05934,1.16201,1.43807,2.58515,,3.81052,3.71573082539532,4.72760039999596,,4.93291,1.52607,2
"Ac",89,3.77084,1.1349,1.37851,2.36235,1.03461,1.05624,1.15939,1.39846,2.57223,,3.77084,3.69582806448765,4.55752101737909,,4.89812,1.5207,2
"Th",90,3.72921,1.13451,1.38067,2.34855,1.02847,1.04842,1.16083,1.44851,2.3558,,3.72921,3.67873095930854,4.27125464053609,,4.86381,1.51538,2
"Pa",91,3.68017,1.13418,1.38265,2.33962,1.02881,1.04821,1.14862,1.43401,2.20859,,3.68017,3.66893120006874,3.92307969699091,,4.82998,1.51009,2
"U",92,3.64804,1.134,1.38421,2.32879,1.02883,1.04867,1.14181,1.36989,2.12567,,3.64804,3.6554880162906,3.58721861411989,,4.79662,1.50485,2
